iddesa,Kode Provinsi,Kode Kabupaten,Kode Kecamatan,Kode Desa,Provinsi,Kabupaten,Kecamatan,Desa,Pelayanan_Dasar,Infrastruktur,Aksesbilitas,IKG2020
1302100016,13,2,100,16,Sumatera Barat,Pesisir Selatan,Bayang,Gurun Panjang Utara,40.45,64.16,17.01,38.59
1302100017,13,2,100,17,Sumatera Barat,Pesisir Selatan,Bayang,Gurun Panjang Barat,37.99,55.45,17.01,35.48
1302101001,13,2,101,1,Sumatera Barat,Pesisir Selatan,Iv  Nagari Bayang Utara,Puluik Puluik,27.74,50.77,21.24,30.91
1302101002,13,2,101,2,Sumatera Barat,Pesisir Selatan,Iv  Nagari Bayang Utara,Koto Ranah,33.98,50.77,21.24,33.85
1302101003,13,2,101,3,Sumatera Barat,Pesisir Selatan,Iv  Nagari Bayang Utara,Muaro Aie,42.81,45.43,21.24,36.80
1302101004,13,2,101,4,Sumatera Barat,Pesisir Selatan,Iv  Nagari Bayang Utara,Pancuang Taba,29.38,48.32,22.73,31.59
1302101005,13,2,101,5,Sumatera Barat,Pesisir Selatan,Iv  Nagari Bayang Utara,Puluik Puluik Selatan,17.77,45.86,21.24,25.13
1302101006,13,2,101,6,Sumatera Barat,Pesisir Selatan,Iv  Nagari Bayang Utara,Limau Gadang Pancung Taba,71.04,54.82,21.24,52.17
1302110001,13,2,110,1,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Kapuh,21.23,46.56,0.00,20.41
1302110002,13,2,110,2,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Ampang Pulai,28.63,46.99,17.01,29.19
1302110003,13,2,110,3,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Nanggalo,17.76,19.85,0.00,12.80
1302110004,13,2,110,4,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Batu Hampar,36.49,41.41,0.00,26.43
1302110005,13,2,110,5,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Duku,40.12,51.85,0.00,30.47
1302110006,13,2,110,6,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Barung Barung Balantai,18.23,19.83,0.00,13.01
1302110007,13,2,110,7,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Sungai Pinang,36.11,39.55,21.24,32.33
1302110008,13,2,110,8,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Siguntur,26.01,44.27,0.00,22.14
1302110009,13,2,110,9,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Taratak Sungai Lundang,29.17,50.77,21.24,31.58
1302110010,13,2,110,10,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Kapuh Utara,30.52,41.55,0.00,23.65
1302110011,13,2,110,11,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Mandeh,36.85,41.94,21.24,33.21
1302110012,13,2,110,12,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Barung Barung Balantai Selatan,29.30,55.45,0.00,26.19
1302110013,13,2,110,13,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Jinang Kampung Pansur Ampang Pulai,30.48,51.44,21.24,32.35
1302110014,13,2,110,14,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Pulau Karam Ampang Pulai,24.81,54.10,21.24,30.28
1302110015,13,2,110,15,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Cerocok Anau Ampang Pulai,30.89,46.72,21.24,31.49
1302110016,13,2,110,16,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Sungai Nyalo Mudiak Aie,48.57,39.55,21.24,38.19
1302110017,13,2,110,17,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Setara Nanggalo,30.70,60.81,21.24,34.55
1302110018,13,2,110,18,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Batu Hampar Selatan,29.75,48.32,0.00,24.81
1302110019,13,2,110,19,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Duku Utara,24.37,46.50,0.00,21.87
1302110020,13,2,110,20,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Barung-barung Balantai Timur,40.74,54.82,17.01,36.63
1302110021,13,2,110,21,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Siguntur Tua,38.13,46.72,0.00,28.39
1302110022,13,2,110,22,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Kampung Baru Korong Nan Ampek,26.14,49.38,0.00,23.35
1302110023,13,2,110,23,Sumatera Barat,Pesisir Selatan,Koto Xi Tarusan,Barung-barung Balantai Tengah,36.79,52.79,0.00,29.12
1303040001,13,3,40,1,Sumatera Barat,Solok,Pantai Cermin,Surian,27.77,44.35,1.49,23.44
1303040002,13,3,40,2,Sumatera Barat,Solok,Pantai Cermin,Lolo,29.64,54.10,17.01,31.26
1303050001,13,3,50,1,Sumatera Barat,Solok,Lembah Gumanti,Alahan Panjang,23.71,18.49,0.00,15.29
1303050002,13,3,50,2,Sumatera Barat,Solok,Lembah Gumanti,Sungai Nanam,28.49,52.57,21.24,31.67
1303050003,13,3,50,3,Sumatera Barat,Solok,Lembah Gumanti,Salimpek,23.91,70.86,5.73,28.87
1303050004,13,3,50,4,Sumatera Barat,Solok,Lembah Gumanti,Aie Dingin,34.38,65.95,0.00,30.94
1303051001,13,3,51,1,Sumatera Barat,Solok,Hiliran Gumanti,Sungai Abu,36.74,74.92,4.23,35.35
